  id    ra_pix    dec_pix    major    minor    pa  ra_hms     dec_dms        maj_as    min_as    vmin_kms    vmax_kms    collide    v1    v2    v_ang  good    date
  89      1741       1112       15       14     0  0:40:58.7  +40:43:40.9        75        70        -570        -480          0  -544  -510      128  pv      250418-1244
  90      1810       1124       42       24   100  0:40:30.3  +40:44:59.9       190       150        -598        -550          0  -595  -558      188  pv      250502-1756
  91      1718       1132       22       16   135  0:41:08.8  +40:45:21.5       150       120        -560        -430          0  -560  -430       38  pp      250418-1251
  92      1588       1134       26       23     0  0:42:06.0  +40:45:33.6       180       150        -445        -390          0  -445  -410       68  pv      250418-1257
  93      2059       1137       14       13     0  0:38:38.7  +40:45:32.5        70        65        -428        -395          0  -423  -410       98  vv      250502-1756
  94      1621       1139       18       15     0  0:41:51.5  +40:45:58.2        90        75        -460        -390          0  -440  -415       98  pv      250418-1301
  95      1762       1141       19       15    90  0:40:49.4  +40:46:05.4        95        75        -600        -500          0  -600  -500       38  nn      250418-1303
  96      1857       1145       17       13    90  0:40:07.6  +40:46:22.3        85        65        -600        -400          0  -600  -400       38  nn      250418-1303
  97      1980       1149       21       19    90  0:39:13.4  +40:46:36.9       105        95        -470        -425          0  -470  -425       38  nn      250418-1306
  98      1532       1162       22       18    90  0:42:30.6  +40:47:53.9       150       130        -410        -360          0  -400  -375       38  pv      250418-1309
  99      1582       1164       21       20   125  0:42:08.6  +40:48:03.6       105       100        -460        -390          0  -450  -410      188  pv      250418-1311
 100      1907       1166       19       16     0  0:39:45.5  +40:48:05.3        95        80        -490        -420          0  -490  -420       38  nn      250418-1313
 101      1927       1171       21       14   120  0:39:35.7  +40:48:29.4       105        90        -480        -433          0  -475  -450      128  nn      250502-1757
 102      1485       1172       18       11   110  0:42:45.3  +40:48:04.0       130        90        -410        -385          0  -408  -387      188  pv      250418-1334
 103      2031       1175       25       21    90  0:38:50.9  +40:48:44.1       125       105        -410        -395          0  -410  -395       38  nn      250418-1336
 104      1385       1179       34       30     0  0:43:35.4  +40:49:18.3       170       150        -380        -325          0  -380  -325       38  nn      250502-1758
 105      1990       1183       12       10   100  0:39:08.9  +40:49:26.4        60        50        -420        -380          0  -420  -380       38  nn      250418-1339
 106      1878       1186       18       15    90  0:39:58.2  +40:49:46.5       150       120        -470        -450          0  -470  -450       38  nn      250418-1341
 107      1640       1194       17       15   110  0:41:41.1  +40:51:03.0       150       120        -495        -460          0  -488  -466       68  vv      250502-1758
 108      1329       1195       21       21     0  0:44:00.1  +40:50:37.4       105       105        -318        -290          0  -310  -290       68  pv      250418-1350
 109      1450       1203       15       14    90  0:43:06.8  +40:51:18.8        75        70        -400        -370          0  -395  -375       38  pp      250502-1759
 110      1892       1206       39       38    90  0:39:42.5  +40:52:05.9       120       120        -460        -415          0  -456  -424       98  pv      250418-1420
 111      1557       1207       14       11     0  0:42:22.0  +40:51:52.8       120       120        -405        -350          0  -400  -363       38  pv      250418-1424
 112      1817       1209       30       29     0  0:40:25.0  +40:51:43.7       170       170        -518        -465          0  -510  -480      158  pv      250418-1427
 113      1607       1212       26       21    90  0:41:53.6  +40:51:13.4       180       140        -480        -380          0  -465  -410      158  pv      250502-1759
 114      1709       1212       22       16    90  0:41:15.6  +40:52:21.7       120       100        -555        -490          0  -542  -508      158  vv      250502-1800
 115      1783       1214       18       18     0  0:40:39.0  +40:51:39.8        90        90        -573        -531          0  -571  -542       68  pv      250418-1439
 116      2016       1218       19       19     0  0:38:57.3  +40:52:20.0        95        95        -410        -375          0  -410  -375       38  nn      250418-1439
