id  ra_pix dec_pix major minor pa  ra_hms    dec_dms     maj_as min_as vmin_kms vmax_kms collide v1   v2   v_ang good date        center_vel expansion_vel radius_pc r_kpc   R_kpc   alpha_deg N_HI_cm2    h_pc    n_HI_cm3 dot_e_bubble SN_num   M_sweep_g  p_rad_cgs  p_perSN_cgs turb_v_min_kms turb_v_max_kms SN_weaver SN_chevalier SN_hybrid SN_weaver_original n_HI_center_cm-3 n_HI_ellipse_cm-3 n_HI_ring_cm-3
51  1503   1261    29    19    120 0:42:42.7 +40:55:50.0 140    97     -379     -340     0       -376 -353 158   pv   250502-1802 -364.5     11.5          504       14.097  13.8912 36.7779   2.97635e+21 404.26  0.276033 2.8904e-28   22.6562  9.3444e+39 1.0746e+46 4.7431e+44  16.9655        18.3254        45.3124   103.446      45.3124   22.6562            0.194389         0.198695          0.205903      
52  1820   1288    22    21    0   0:40:25.5 +40:58:18.6 110    105    -435     -380     0       -425 -395 128   pv   250420-1619 -410       15            396       10.7035 11.1036 114.677   2.35257e+21 359.657 0.24524  6.4053e-28   16.6111  4.0269e+39 6.0404e+45 3.6364e+44  22.6204        30.0574        33.2222   61.9377      33.2222   16.6111            0.172704         0.183805          0.194963      
53  1464   1333    17    16    90  0:43:02.7 +41:02:28.9 130    130    -400     -320     0       -375 -335 68    pv   250420-1636 -355       20            468       12.7516 12.5221 24.0503   3.54971e+21 382.353 0.348069 2.027e-27    69.1833  9.4341e+39 1.8868e+46 2.7273e+44  19.111         21.0841        138.367   230.967      138.367   69.1833            0.245119         0.247859          0.242885      
54  1826   1340    17    14    110 0:40:20.7 +41:02:38.4 93     84     -403     -375     0       -400 -380 38    pv   250502-1806 -390       10            334.8     13.3544 13.4607 124.56    2.62369e+21 397.372 0.247544 1.7339e-28   4.50346  2.4564e+39 2.4564e+45 5.4545e+44  16.6943        17.7364        9.00692   21.0134      9.00692   4.50346            0.174327         0.171708          0.160695      
55  1433   1363    25    17    90  0:43:10.4 +41:04:38.8 94     87     -365     -320     0       -355 -325 98    pv   250502-1808 -340       15            338.4     12.4846 12.9587 13.5739   3.72641e+21 389.339 0.358839 8.6579e-28   15.1674  3.6769e+39 5.5154e+45 3.6364e+44  18.432         20.2764        30.3348   58.0917      30.3348   15.1674            0.252704         0.2641            0.21576       
56  1684   1382    25    25    0   0:41:23.3 +41:06:12.2 150    150    -475     -420     0       -465 -427 38    pv   250420-1707 -446       19            540       5.90392 5.99814 114.015   1.85135e+21 277.97  0.249704 1.715e-27    68.8102  1.0397e+40 1.9754e+46 2.8708e+44  19.7061        25.6087        137.62    231.588      137.62    68.8102            0.175848         0.196317          0.200296      
57  1410   1416    38    23    120 0:43:24.6 +41:09:03.6 230    140    -360     -320     0       -355 -327 38    pv   250420-1717 -341       14            828       11.8359 11.7171 -0.222533 3.58162e+21 369.474 0.363439 7.5127e-28   196.028  5.4553e+40 7.6374e+46 3.8961e+44  20.4678        23.885         392.056   872.556      392.056   196.028            0.255943         0.258824          0.213772      
58  1735   1417    18    17    75  0:41:00.7 +41:09:06.1 140    120    -433     -363     0       -425 -373 158   pv   250420-1721 -399       26            504       10.6011 10.712  132.203   2.42965e+21 353.392 0.257765 3.5682e-27   108.144  8.7259e+39 2.2687e+46 2.0979e+44  24.7993        32.9916        216.288   300.188      216.288   108.144            0.181525         0.189811          0.200602      
59  1373   1423    17    17    0   0:43:41.0 +41:09:38.1 120    120    -320     -260     0       -305 -280 98    pv   250420-1723 -292.5     12.5          432       13.9616 13.843  -6.75041  3.80408e+21 403.488 0.353472 4.7623e-28   21.5856  7.5353e+39 9.4192e+45 4.3636e+44  16.9655        18.3254        43.1712   94.8018      43.1712   21.5856            0.248924         0.241344          0.210399      
61  1285   1471    22    15    110 0:44:20.0 +41:13:36.5 180    180    -310     -250     0       -300 -263 158   pv   250420-1733 -281.5     18.5          648       17.4972 17.3798 -21.5957  2.02667e+21 460.077 0.165154 6.3262e-28   74.5584  1.1883e+40 2.1983e+46 2.9484e+44  18.1464        43.3256        149.117   248.008      149.117   74.5584            0.116306         0.114966          0.124715      
