3140 11.503866 42.190636 17.203 0.010 17.191 0.006 0.19   778.5  40.3  35.5  42.6  4.6e+04  4.6e+04  4.6e+04   9.9   8.9  11.8  1.0e+04  9.0e+03  1.0e+04
3141 11.669154 42.193829 18.492 0.021 18.506 0.012 0.38   632.2  18.8  15.4  24.3  2.6e+04  2.6e+04  2.6e+04   5.8   4.9   6.9  5.5e+03  3.6e+03  7.9e+03
3142 11.602343 42.200024 18.439 0.018 18.341 0.010 0.27   342.0  60.4  51.5  68.0  4.7e+04  3.8e+04  5.8e+04  24.2  18.4  33.5  1.6e+04  1.6e+04  2.5e+04
3143 11.586030 42.205284 19.580 0.031 19.181 0.014 0.55   144.0 134.4 118.6 150.2  3.0e+05  3.0e+05  9.1e+05  81.6  71.2  92.5  3.2e+05  2.6e+05  3.8e+05
3144 11.604691 42.206253 19.410 0.029 19.588 0.018 0.43   135.0   3.1   2.0   4.5  1.1e+03  1.4e+03  2.4e+03   2.0   1.3   2.4  1.0e+03  1.4e+03  1.0e+03
3145 11.591265 42.209217 19.178 0.027 19.251 0.017 0.26   319.5  14.9  10.3  19.5  2.2e+03  2.2e+03  5.4e+03   4.8   3.9   5.9  7.6e+02  7.4e+02  1.2e+03
3147 11.543738 42.212822 18.186 0.015 18.278 0.009 0.14   238.5  14.2  11.6  16.7  2.2e+03  2.2e+03  5.4e+03   4.6   4.1   5.1  7.6e+02  7.4e+02  7.6e+02
3148 11.550156 42.220516 19.165 0.024 19.243 0.015 0.15   171.0  16.2  12.0  20.6  2.4e+03  9.8e+02  2.4e+03   5.0   4.2   6.1  3.4e+02  3.2e+02  5.1e+02
3149 11.425496 42.228844 17.442 0.010 17.543 0.006 0.32   303.8   9.3   8.3  10.6  1.6e+04  1.3e+04  1.7e+04   3.7   3.5   4.0  5.6e+03  3.8e+03  5.6e+03
3150 11.281945 42.228195 18.532 0.017 18.343 0.009 0.20   112.5  96.9  89.6 105.3  5.4e+04  4.6e+04  5.4e+04  59.1  55.1  63.8  3.7e+04  3.7e+04  3.7e+04
3152 11.627616 42.238377 19.449 0.028 19.302 0.015 0.17   126.0  83.0  72.9  94.3  1.3e+04  1.1e+04  1.6e+04  50.9  41.1  57.8  9.7e+03  7.2e+03  1.2e+04
3153 11.909523 42.241566 19.640 0.030 19.710 0.018 0.14   123.8  17.4  12.2  24.9  1.4e+03  6.0e+02  1.4e+03   5.3   4.2   6.9  2.0e+02  2.0e+02  4.4e+02
3154 11.579074 42.246452 19.758 0.032 19.862 0.020 0.13   117.0  12.5   8.2  18.0  4.8e+02  3.6e+02  1.2e+03   4.2   3.4   5.4  1.6e+02  1.1e+02  1.6e+02
3155 11.274314 42.258099 19.019 0.022 18.983 0.012 0.13   155.2  46.3  41.1  53.1  7.4e+03  5.5e+03  7.4e+03  14.6  10.4  18.8  1.2e+03  1.2e+03  3.0e+03
3156 11.672107 42.262188 18.723 0.020 18.991 0.013 0.17   236.2   1.9   1.6   2.6  3.4e+02  3.4e+02  3.0e+02   1.2 -99.0   1.7  3.6e+02 -9.9e+01  2.6e+02
3157 11.679862 42.270599 19.173 0.024 18.576 0.010 0.19   137.2 268.0 258.7 277.2  2.3e+05  2.3e+05  2.3e+05 172.3 165.3 179.3  1.8e+05  1.8e+05  1.8e+05
3158 11.676258 42.274258 19.352 0.026 19.489 0.016 0.15   135.0   8.5   6.3  12.0  6.0e+02  3.6e+02  8.0e+02   3.5   2.9   4.2  1.8e+02  1.8e+02  2.6e+02
3160 11.369422 42.295704 18.559 0.017 17.955 0.007 0.09   171.0 273.0 266.5 279.6  1.9e+05  1.9e+05  1.9e+05 175.9 170.9 180.8  1.6e+05  1.6e+05  1.6e+05
3161 11.504368 42.345798 19.524 0.029 19.697 0.019 0.10   153.0   6.0   4.1   8.5  2.0e+02  1.3e+02  3.4e+02   2.8   2.3   3.5  1.0e+02  7.9e+01  1.0e+02
