alpha	r	x1_mom0	x1_mom1	x1_mom2	x2_mom0	x2_mom1	x2_mom2	x3_mom0	x3_mom1	x3_mom2
180	40932	0.00534	-484.532	2.9577	0.147965	-333.601	4.21887	0.147965	-333.601	4.21887
180	41148	0.004575	-496.838	3.07839	0.148225	-334.377	4.34842	0.148225	-334.377	4.34842
180	41364	0.00515	-463.825	3.15336	0.15414	-333.616	4.8733	0.15414	-333.616	4.8733
180	41580	0.0074875	-410.732	2.98963	0.18361	-331.87	4.3352	0.18361	-331.87	4.3352
180	41796	0.00941	-407.406	2.90756	0.18041	-333.317	4.43117	0.18041	-333.317	4.43117
180	42012	0.00874	-363.882	3.0549	0.179457	-332.913	4.31153	0.179457	-332.913	4.31153
180	42228	0.00631	-364.089	3.45404	0.17775	-330.949	4.59076	0.17775	-330.949	4.59076
180	42444	0.01041	-388.671	3.05877	0.18088	-330.374	4.89443	0.18088	-330.374	4.89443
180	42660	0.009655	-397.932	3.04849	0.1696	-327.823	4.56517	0.1696	-327.823	4.56517
180	42876	0.0057	-403.572	3.28808	0.15346	-325.201	4.39034	0.15346	-325.201	4.39034
180	43092	0.0059475	-404.993	2.93398	0.148745	-325.717	4.09434	0.148745	-325.717	4.09434
180	43308	0.00609	-476.119	2.99336	0.163425	-328.589	3.90823	0.163425	-328.589	3.90823
180	43524	0.01092	-445.999	2.89088	0.16173	-331.294	3.75513	0.16173	-331.294	3.75513
180	43740	0.01243	-417.812	3.29732	0.18019	-331.233	3.97405	0.18019	-331.233	3.97405
180	43956	0.0117275	-461.545	2.86142	0.177817	-331.758	4.00577	0.177817	-331.758	4.00577
180	44172	0.016375	-446.881	3.14842	0.152702	-338.41	3.31654	0.152702	-338.41	3.31654
180	44388	0.01306	-438.139	3.37294	0.13197	-333.043	3.31354	0.13197	-333.043	3.31354
180	44604	0.007005	-525.206	3.63145	0.13067	-331.703	3.66986	0.13067	-331.703	3.66986
180	44820	0.00545	-549.309	3.01155	0.13792	-331.924	3.22397	0.13792	-331.924	3.22397
180	45036	0.01076	-470.619	2.25897	0.118895	-331.8	2.70169	0.118895	-331.8	2.70169
180	45252	0.0167425	-500.425	2.67831	0.10833	-333.243	2.68091	0.10833	-333.243	2.68091
180	45468	0.0234325	-503.063	3.80584	0.12294	-466.348	3.6838	0.12294	-466.348	3.6838
180	45684	0.01234	-487.71	2.90271	0.11538	-331.506	4.02082	0.11538	-331.506	4.02082
180	45900	-0.00453	-348.709	2.50307	0.149625	-331.026	3.44306	0.149625	-331.026	3.44306
180	46116	0.02354	-344.068	3.06325	0.133578	-328.814	3.58336	0.133578	-328.814	3.58336
180	46332	0.03186	-343.279	2.99943	0.116905	-341.331	2.92798	0.116905	-341.331	2.92798
180	46548	0.0299725	-345.005	2.83442	0.112113	-342.202	1.74205	0.112113	-342.202	1.74205
180	46764									
180	46980									
180	47196									
180	47412									
180	47628									
180	47844									
180	48060									
180	48276									
180	48492									
180	48708									
180	48924									
180	49140									
180	49356									
180	49572									
180	49788									
180	50004									
180	50220									
180	50436									
180	50652									
180	50868									
180	51084									
180	51300									
180	51516									
180	51732									
180	51948									
180	52164									
180	52380									
180	52596									
180	52812									
180	53028									
180	53244									
180	53460									
180	53676									
180	53892									
180	54108									
180	54324									
180	54540									
180	54756									
180	54972									
